supplier ID,printer,order completion time,material,category,resolution,Price (USD)
banjags3dprinting,Zonestar P802M,3,Generic Standard PETG,PET,200,5.32
165110,HyperCube,2,Generic Standard PLA,ABS/PLA,150,5.34
Bham,Original Prusa i3 MK2S,1,Generic Standard PLA,ABS/PLA,300,5.34
Bham,Original Prusa i3 MK2S,1,Generic Standard PLA,ABS/PLA,400,5.34
198879,Wanhao Duplicator i3 V2,1,Generic Standard PLA,ABS/PLA,150,5.37
198879,Kossel K800,1,Generic Standard PLA,ABS/PLA,150,5.37
179280,Prusa Research Original Prusa i3 MK3,1,Generic Standard PLA,ABS/PLA,200,5.38
3dprintmcallen,Black Widow,2,Generic Standard PLA,ABS/PLA,200,5.38
3dprintmcallen,Creality CR-10,2,Generic Standard PLA,ABS/PLA,200,5.38
15586,Makerbot Replicator 2x,2,Generic Standard ABS,ABS/PLA,400,5.4
15586,Makerbot Replicator 2x,2,Generic Standard PLA,ABS/PLA,400,5.4
15586,Makerbot Replicator 2x,2,Generic Standard ABS,ABS/PLA,400,5.4
15586,Afinia H480,1,Generic Standard ABS,ABS/PLA,400,5.4
226922,PowerSpec Ultra 3D,2,Generic Standard PLA,ABS/PLA,200,5.4
226922,PowerSpec Ultra 3D,2,Generic Standard PLA,ABS/PLA,300,5.4
145126,Prusa i3,1,Generic Standard PLA,ABS/PLA,200,5.45
180633,RepRap,2,Generic Standard PLA,ABS/PLA,200,5.46
207335,Original Prusa i3 MK2,4,ColorFabb PLA/PHA,ABS/PLA Filled,300,5.46
Bham,Original Prusa i3 MK2S,1,Generic Standard ABS,ABS/PLA,300,5.47
210960,Original Prusa i3 MK2,2,Generic Standard PLA,ABS/PLA,200,5.49
210960,Original Prusa i3 MK2,2,Generic Standard ABS,ABS/PLA,200,5.49
210960,Vulcanus Max 40,2,Generic Standard PLA,ABS/PLA,200,5.49
210960,Vulcanus Max 40,2,Generic Standard ABS,ABS/PLA,200,5.49
210964,Original Prusa i3 MK2,2,Generic Standard ABS,ABS/PLA,200,5.49
210964,Vulcanus Max 40,2,Generic Standard PLA,ABS/PLA,200,5.49
210964,Vulcanus Max 40,2,Generic Standard ABS,ABS/PLA,200,5.49
shapefy,FlashForge Creator Pro,2,Generic Standard ABS,ABS/PLA,200,5.49
shapefy,FlashForge Creator Pro,2,Generic Standard PLA,ABS/PLA,200,5.49
shapefy,Original Prusa i3 MK2,2,Generic Standard ABS,ABS/PLA,200,5.49
shapefy,Original Prusa i3 MK2,2,Generic Standard PLA,ABS/PLA,200,5.49
shapefy,Vulcanus Max 40,2,Generic Standard ABS,ABS/PLA,200,5.49
210964,Original Prusa i3 MK2,2,ColorFabb PLA/PHA,ABS/PLA Filled,200,5.49
shapefy,Vulcanus Max 40,2,ColorFabb PLA/PHA,ABS/PLA Filled,200,5.49
210960,Original Prusa i3 MK2,2,Generic Standard PETG,PET,200,5.49
210960,Vulcanus Max 40,2,Generic Standard PETG,PET,200,5.49
210964,Original Prusa i3 MK2,2,Generic Standard PETG,PET,200,5.49
210964,Vulcanus Max 40,2,Generic Standard PETG,PET,200,5.49
shapefy,FlashForge Creator Pro,2,Generic Standard PETG,PET,200,5.49
shapefy,Original Prusa i3 MK2,2,Generic Standard PETG,PET,200,5.49
shapefy,Vulcanus Max 40,2,Generic Standard PETG,PET,200,5.49
101317,Prusa i3,2,Generic Standard PLA,ABS/PLA,200,5.5
150746,M3D Pro,3,Generic Standard PLA,ABS/PLA,200,5.5
150746,M3D Pro,3,Generic Standard PLA,ABS/PLA,250,5.5
150746,M3D Pro,3,Generic Standard PLA,ABS/PLA,150,5.5
159612,Prusa i3,2,Generic Standard PLA,ABS/PLA,300,5.5
159612,Prusa i3,2,Generic Standard PLA,ABS/PLA,100,5.5
159612,Prusa i3,2,Generic Standard PLA,ABS/PLA,200,5.5
BruceMui,Original Prusa i3 MK2S,1,Generic Standard PLA,ABS/PLA,200,5.5
110657,Ultimaker 3,1,ColorFabb PLA/PHA,ABS/PLA Filled,300,5.5
139035,Ultimaker 2+,3,ColorFabb PLA/PHA,ABS/PLA Filled,150,5.5
36000,Original Prusa i3 MK2S,2,Generic Standard PETG,PET,300,5.5
OneEarWillie,Makerfarm Pegasus 8,2,Generic Standard PETG,PET,200,5.5
GriffHub,ANET 3D - A8,2,Generic Standard PLA,ABS/PLA,200,5.52
21694,MendelMax,2,Generic Standard PLA,ABS/PLA,200,5.6
33699,Prusa Research Original Prusa i3 MK3,2,Generic Standard PLA,ABS/PLA,200,5.6
108471,Ultimaker 2+,2,Generic Standard ABS,ABS/PLA,150,5.6
108471,Ultimaker 2+,2,Generic Standard PLA,ABS/PLA,150,5.6
108471,Ultimaker 2+,2,ColorFabb nGen,ABS/PLA,200,5.6
108471,Ultimaker 2+,2,ColorFabb _HT,ABS/PLA,200,5.6
136004,FLSUN  i3 2017,2,Generic Standard PLA,ABS/PLA,200,5.6
136004,Creality Ender 2,2,Generic Standard PLA,ABS/PLA,200,5.6
169760,Discovery 200,3,Generic Standard PLA,ABS/PLA,200,5.6
169998,Original Prusa i3 MK2,4,Generic Standard PLA,ABS/PLA,150,5.6
177696,Rostock MAX V2,2,Generic Standard PLA,ABS/PLA,300,5.6
201093,Original Prusa i3 MK2,7,Generic Standard ABS,ABS/PLA,250,5.6
201093,Original Prusa i3 MK2,7,Generic Standard PLA,ABS/PLA,250,5.6
231204,Prusa i3,2,Generic Standard PLA,ABS/PLA,300,5.6
3dparts,Original Prusa i3 MK2,3,Generic Standard PLA,ABS/PLA,150,5.6
3dsolid,Ultimaker 2+ Extended,1,Generic Standard PLA,ABS/PLA,200,5.6
3dsolid,Tevo Little Monster,1,Generic Standard PLA,ABS/PLA,200,5.6
3dsolid,Tevo Black Widow,1,Generic Standard PLA,ABS/PLA,100,5.6
